product,subsystem,system_element,function,failure_mode,failure_cause,failure_effect,occurrence_rating,detection_rating,severity_rating,measure_type,measure_name,measure_description
Washing Machine,Water System,Inlet Valve,Filter incoming water,Valve clogging,Debris accumulation,Reduced water flow,6,5,5,detective,Flow monitoring,Monitor inlet water flow rate
Washing Machine,Water System,Water Level Sensor,Monitor water level,Incorrect level reading,Sensor drift,Incorrect water amount,4,4,7,preventive,Sensor calibration,Calibrate level sensor annually
Washing Machine,Water System,Water Level Sensor,Monitor water level,Incorrect level reading,Sensor drift,Incorrect water amount,4,4,7,detective,Level verification,Cross-check with backup sensor
Washing Machine,Water System,Water Level Sensor,Monitor water level,Sensor failure,Electronic malfunction,No level detection,3,3,8,preventive,Environmental protection,Protect sensor from moisture
Washing Machine,Water System,Water Level Sensor,Monitor water level,Sensor failure,Electronic malfunction,No level detection,3,3,8,detective,Sensor diagnostics,Built-in sensor self-test
Washing Machine,Water System,Drain Hose,Remove waste water,Hose blockage,Lint accumulation,Poor drainage,5,3,6,preventive,Regular cleaning,Clean drain hose monthly
Washing Machine,Water System,Drain Hose,Remove waste water,Hose blockage,Lint accumulation,Poor drainage,5,3,6,detective,Drainage monitoring,Monitor drain time and flow
Washing Machine,Water System,Drain Hose,Remove waste water,Hose damage,Physical wear,Water leakage,4,6,7,preventive,Hose replacement,Replace drain hose every 5 years
Washing Machine,Water System,Drain Hose,Remove waste water,Hose damage,Physical wear,Water leakage,4,6,7,detective,Visual inspection,Inspect hose condition during service
Washing Machine,Water System,Water Temperature Sensor,Monitor water temperature,Temperature reading error,Sensor failure,Incorrect wash temperature,3,4,6,preventive,Sensor protection,Protect sensor from scale buildup
Washing Machine,Water System,Water Temperature Sensor,Monitor water temperature,Temperature reading error,Sensor failure,Incorrect wash temperature,3,4,6,detective,Temperature verification,Cross-check with backup thermometer
Washing Machine,Water System,Hot Water Heater,Heat wash water,Heater fails,Heating element burnout,No hot water,3,2,7,preventive,Element maintenance,Descale heating element regularly
Washing Machine,Water System,Hot Water Heater,Heat wash water,Heater fails,Heating element burnout,No hot water,3,2,7,detective,Element testing,Test heating element resistance
Washing Machine,Water System,Hot Water Heater,Heat wash water,Overheating,Thermostat failure,Excessive temperature,3,4,8,preventive,Thermostat calibration,Calibrate thermostat annually
Washing Machine,Water System,Hot Water Heater,Heat wash water,Overheating,Thermostat failure,Excessive temperature,3,4,8,detective,Temperature monitoring,Monitor water temperature continuously
Washing Machine,Control System,Main Control Board,Coordinate all functions,Complete system failure,Board failure,No machine operation,2,1,10,preventive,Environmental protection,Protect control board from moisture
Washing Machine,Control System,Main Control Board,Coordinate all functions,Complete system failure,Board failure,No machine operation,2,1,10,detective,System diagnostics,Built-in system self-test
Washing Machine,Control System,Main Control Board,Execute wash programs,Program execution error,Software corruption,Incorrect wash cycle,2,5,7,preventive,Software backup,Maintain firmware backup
Washing Machine,Control System,Main Control Board,Execute wash programs,Program execution error,Software corruption,Incorrect wash cycle,2,5,7,detective,Program verification,Verify program execution steps
Washing Machine,Control System,Main Control Board,Process user inputs,Unresponsive to commands,Input circuit failure,No user control,3,4,8,preventive,Circuit protection,Install input circuit protection
Washing Machine,Control System,Main Control Board,Process user inputs,Unresponsive to commands,Input circuit failure,No user control,3,4,8,detective,Input testing,Test user input responsiveness
Washing Machine,Control System,Display Panel,Show status information,Display malfunction,LED failure,No status indication,3,9,4,preventive,LED replacement,Replace display LEDs preventively
Washing Machine,Control System,Display Panel,Show status information,Display malfunction,LED failure,No status indication,3,9,4,detective,Display testing,Test display functionality regularly
Washing Machine,Control System,Display Panel,Accept user input,Button failure,Contact wear,Cannot select programs,4,8,6,preventive,Button protection,Install protective button covers
Washing Machine,Control System,Display Panel,Accept user input,Button failure,Contact wear,Cannot select programs,4,8,6,detective,Button testing,Test button responsiveness
Washing Machine,Control System,Timer,Control cycle duration,Timer malfunction,Clock circuit failure,Incorrect cycle timing,3,5,6,preventive,Circuit protection,Protect timer circuit from power surges
Washing Machine,Control System,Timer,Control cycle duration,Timer malfunction,Clock circuit failure,Incorrect cycle timing,3,5,6,detective,Timing verification,Verify timer accuracy regularly
Washing Machine,Control System,Safety Interlock,Prevent operation when unsafe,Interlock failure,Switch malfunction,Safety risk,3,6,9,preventive,Switch maintenance,Clean and lubricate safety switches
Washing Machine,Control System,Safety Interlock,Prevent operation when unsafe,Interlock failure,Switch malfunction,Safety risk,3,6,9,detective,Safety testing,Test safety interlock function monthly
Washing Machine,Control System,Emergency Stop,Stop operation immediately,Stop function fails,Button mechanism failure,Cannot stop machine,2,7,8,preventive,Button maintenance,Maintain emergency stop mechanism
Washing Machine,Control System,Emergency Stop,Stop operation immediately,Stop function fails,Button mechanism failure,Cannot stop machine,2,7,8,detective,Stop testing,Test emergency stop function weekly
Washing Machine,Drum Assembly,Wash Drum,Contain clothes during wash,Drum damage,Metal fatigue,Clothes damage,2,8,7,preventive,Load management,Install automatic load balancing
Washing Machine,Drum Assembly,Wash Drum,Contain clothes during wash,Drum damage,Metal fatigue,Clothes damage,2,8,7,detective,Drum inspection,Visual inspection of drum surface
Washing Machine,Drum Assembly,Wash Drum,Rotate for washing action,Drum imbalance,Uneven loading,Excessive vibration,6,8,6,preventive,Load sensing,Install load distribution sensing
Washing Machine,Drum Assembly,Wash Drum,Rotate for washing action,Drum imbalance,Uneven loading,Excessive vibration,6,8,6,detective,Vibration monitoring,Monitor washing cycle vibration
Washing Machine,Drum Assembly,Drum Bearings,Support drum rotation,Bearing failure,Lubrication loss,Noisy operation,4,7,6,preventive,Lubrication schedule,Regular bearing lubrication
Washing Machine,Drum Assembly,Drum Bearings,Support drum rotation,Bearing failure,Lubrication loss,Noisy operation,4,7,6,detective,Noise monitoring,Monitor bearing noise levels
Washing Machine,Drum Assembly,Drum Bearings,Support drum rotation,Bearing wear,Normal usage,Increased friction,6,7,5,preventive,Quality bearings,Use high-quality sealed bearings
Washing Machine,Drum Assembly,Drum Bearings,Support drum rotation,Bearing wear,Normal usage,Increased friction,6,7,5,detective,Performance monitoring,Monitor drum rotation smoothness
Washing Machine,Drum Assembly,Drum Seal,Prevent water leakage,Seal deterioration,Rubber aging,Water leakage,5,6,7,preventive,Seal replacement,Replace door seal every 4 years
Washing Machine,Drum Assembly,Drum Seal,Prevent water leakage,Seal deterioration,Rubber aging,Water leakage,5,6,7,detective,Leak detection,Install water leak sensors
Washing Machine,Drum Assembly,Drum Door,Provide access to drum,Door latch failure,Mechanism wear,Door won't close,4,8,7,preventive,Latch lubrication,Lubricate door latch mechanism
Washing Machine,Drum Assembly,Drum Door,Provide access to drum,Door latch failure,Mechanism wear,Door won't close,4,8,7,detective,Latch testing,Test door latch operation
Washing Machine,Drum Assembly,Drum Door,Maintain water seal,Door seal damage,Physical damage,Water leakage,4,6,7,preventive,Seal protection,Install door seal protector
Washing Machine,Drum Assembly,Drum Door,Maintain water seal,Door seal damage,Physical damage,Water leakage,4,6,7,detective,Seal inspection,Regular door seal inspection
Washing Machine,Drum Assembly,Suspension System,Reduce vibration,Suspension failure,Spring fatigue,Excessive vibration,4,7,6,preventive,Spring replacement,Replace suspension springs every 6 years
Washing Machine,Drum Assembly,Suspension System,Reduce vibration,Suspension failure,Spring fatigue,Excessive vibration,4,7,6,detective,Vibration analysis,Analyze suspension performance‚
